Headline,URL
Australia's 'Space Gandalf' astronomer dies aged 62,https://www.bbc.com/news/articles/cl7744p258yo
Huge cricket upset wakes US from 100-year 'hibernation',https://www.bbc.com/sport/cricket/articles/cy990k0lwl7o
Modi to be sworn in as India's PM on Sunday,https://www.bbc.com/news/articles/c999v798e91o
Hiker finds pipe feeding China's tallest waterfall,https://www.bbc.com/news/articles/cp99l9gpzwgo
Extreme heat sends 11 to hospital at Arizona Trump rally,https://www.bbc.com/news/articles/crgge744qpeo
Zelensky and D-Day veteran call each other 'hero',https://www.bbc.com/news/articles/cd11rej2qy8o
'Wanna feed the giraffe?' Moment toddler grabbed from truck,https://www.bbc.com/news/videos/cl44z1ne6e1o
Australia's 'Space Gandalf' astronomer dies aged 62,https://www.bbc.com/news/articles/cl7744p258yo
Most read,https://www.bbc.com/news/articles/cp99l9gpzwgo
Hiker finds pipe feeding China's tallest waterfall,https://www.bbc.com/news/articles/cp99l9gpzwgo
Divers join search for missing Michael Mosley,https://www.bbc.com/news/articles/cl552xdq79do
Woman sues Netflix over Baby Reindeer character,https://www.bbc.com/news/articles/c6ppe84jq6do
Refugees sent to Rwanda from remote UK island speak to BBC,https://www.bbc.com/news/articles/c511kkwej7jo
Records set in heatwave plaguing US Southwest,https://www.bbc.com/news/articles/cn007eqpzwpo
Concern rises over AI in adult entertainment,https://www.bbc.com/news/articles/c2qqxqgp9yno
Fatal black bear attack a first in California history,https://www.bbc.com/news/articles/cw445jn5pqpo
Why Canadians are angry with their biggest supermarket,https://www.bbc.com/news/articles/cd11ywyg6p0o
Why is Taylor Swift so big? 'She wants it more than anyone',https://www.bbc.com/news/articles/cpvvx9lwl0do
The right could win big in Europe – thanks to young people,https://www.bbc.com/news/articles/cqqq952e3v6o
Sport,https://www.bbc.com/sport/tennis/live/c800d7d6g0jt
French Open semi-finals: Sinner leads Alcaraz by set and break - radio & text,https://www.bbc.com/sport/tennis/live/c800d7d6g0jt
Euro 2024 build-up: England squad reaction & Scotland latest,https://www.bbc.com/sport/football/live/c9xxn531wljt
Zverev's domestic abuse case discontinued,https://www.bbc.com/sport/tennis/articles/cw44pggrl7zo
'Unbelievable win over Pakistan a big day for US cricket',https://www.bbc.com/sport/cricket/videos/cj55e9e8j5po
Johnson-Thompson trails Thiam in heptathlon at Euros,https://www.bbc.com/sport/athletics/articles/c8441kgq14no
Euro 2024 build-up: England squad reaction & Scotland latest,https://www.bbc.com/sport/football/live/c9xxn531wljt
Sensational upset awakens USA from 100-year cricketing hibernation,https://www.bbc.com/sport/cricket/articles/cy990k0lwl7o
Rydstrom & Hurzeler among Brighton contenders,https://www.bbc.com/sport/football/articles/crggep5049po
Zverev's domestic abuse case discontinued,https://www.bbc.com/sport/tennis/articles/cw44pggrl7zo
